#####################################################################
# Alchemist log file - simulation started at: 2023-05-21T21:21+0000 #
#####################################################################
#
# seed = 0.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 1
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 0.0 400.0 400.0 400.0
1.0 0.0 400.0 2738.0 400.0 400.0 400.0
2.0 0.0 740.0 5035.0 783.0 783.0 783.0
3.0 0.0 775.0 5247.0 797.0 804.0 818.0
4.0 0.0 798.0 5396.0 807.0 817.0 841.0
5.0 0.0 846.0 5710.0 827.0 845.0 889.0
6.0 0.0 874.0 5906.0 836.0 864.0 917.0
7.0 0.0 930.0 6286.0 861.0 895.0 973.0
8.0 0.0 976.0 6613.0 883.0 920.0 1020.0
9.0 0.0 1048.0 7101.0 918.0 960.0 1095.0
10.0 0.0 1113.0 7553.0 954.0 994.0 1165.0
11.0 0.0 1184.0 8045.0 994.0 1032.0 1243.0
12.0 0.0 1250.0 8494.0 1036.0 1061.0 1314.0
13.0 0.0 1328.0 9025.0 1085.0 1099.0 1401.0
14.0 0.0 1395.0 9484.0 1126.0 1134.0 1477.0
15.0 0.0 1466.0 9977.0 1173.0 1166.0 1556.0
16.0 0.0 1533.0 10443.0 1221.0 1193.0 1631.0
17.0 0.0 1610.0 10991.0 1277.0 1224.0 1718.0
18.0 0.0 1684.0 11514.0 1326.0 1254.0 1797.0
19.0 0.0 1763.0 12077.0 1379.0 1289.0 1885.0
20.0 0.0 1850.0 12697.0 1438.0 1326.0 1981.0
21.0 0.0 1935.0 13301.0 1489.0 1367.0 2073.0
22.0 0.125 2034.0 14005.0 1559.0 1409.0 2180.0
23.0 0.20000000000000043 2127.0 14660.0 1616.0 1461.0 2281.0
24.0 0.5999999999999993 2222.0 15326.0 1690.0 1515.0 2383.0
25.0 0.925000000000001 2311.0 15955.0 1754.0 1577.0 2478.0
26.0 1.375 2405.0 16616.0 1831.0 1644.0 2581.0
27.0 2.024999999999999 2512.0 17370.0 1907.0 1719.0 2695.0
28.0 2.699999999999999 2631.0 18204.0 1992.0 1796.0 2821.0
29.0 3.375 2763.0 19115.0 2082.0 1883.0 2966.0
30.0 3.800000000000001 2903.0 20078.0 2178.0 1968.0 3115.0
31.0 4.3500000000000005 3043.0 21024.0 2258.0 2060.0 3265.0
32.0 4.7250000000000005 3182.0 21956.0 2337.0 2148.0 3411.0
33.0 5.125 3311.0 22800.0 2407.0 2229.0 3552.0
34.0 5.45 3443.0 23670.0 2477.0 2302.0 3692.0
35.0 5.7749999999999995 3540.0 24300.0 2531.0 2357.0 3801.0
36.0 6.075000000000002 3634.0 24938.0 2576.0 2418.0 3907.0
37.0 6.549999999999998 3712.0 25459.0 2612.0 2464.0 3989.0
38.0 6.8500000000000005 3803.0 26076.0 2649.0 2527.0 4089.0
39.0 7.274999999999999 3893.0 26682.0 2691.0 2580.0 4184.0
40.0 7.549999999999997 3987.0 27321.0 2734.0 2640.0 4287.0
41.0 7.875 4071.0 27893.0 2783.0 2681.0 4377.0
42.0 8.024999999999999 4165.0 28537.0 2834.0 2733.0 4480.0
43.0 8.200000000000003 4251.0 29120.0 2886.0 2777.0 4576.0
44.0 8.274999999999997 4336.0 29704.0 2936.0 2820.0 4669.0
45.0 8.325000000000003 4402.0 30148.0 2979.0 2848.0 4740.0
46.0 8.299999999999997 4472.0 30615.0 3017.0 2878.0 4812.0
47.0 8.325000000000003 4525.0 30954.0 3044.0 2895.0 4865.0
48.0 8.149999999999997 4584.0 31339.0 3077.0 2908.0 4929.0
49.0 8.125 4638.0 31689.0 3098.0 2913.0 4983.0
50.0 7.950000000000002 4692.0 32039.0 3113.0 2918.0 5037.0
51.0 7.9 4742.0 32371.0 3123.0 2918.0 5087.0
52.0 7.724999999999998 4791.0 32699.0 3129.0 2918.0 5136.0
53.0 7.650000000000003 4837.0 33009.0 3129.0 2918.0 5182.0
54.0 7.474999999999997 4888.0 33357.0 3129.0 2918.0 5236.0
55.0 7.450000000000004 4934.0 33674.0 3129.0 2918.0 5286.0
56.0 7.275000000000004 4984.0 34013.0 3129.0 2918.0 5340.0
57.0 7.224999999999996 5030.0 34325.0 3129.0 2918.0 5389.0
58.0 7.0 5081.0 34679.0 3129.0 2918.0 5448.0
59.0 6.875 5123.0 34973.0 3129.0 2918.0 5494.0
60.0 6.674999999999995 5176.0 35343.0 3129.0 2918.0 5552.0
61.0 6.525000000000005 5230.0 35722.0 3129.0 2918.0 5611.0
62.0 6.400000000000006 5282.0 36091.0 3129.0 2918.0 5664.0
63.0 6.150000000000006 5343.0 36520.0 3129.0 2918.0 5729.0
64.0 6.0 5397.0 36909.0 3129.0 2918.0 5786.0
65.0 5.775000000000007 5462.0 37366.0 3129.0 2918.0 5857.0
66.0 5.5250000000000075 5524.0 37809.0 3129.0 2918.0 5923.0
67.0 5.325000000000008 5589.0 38272.0 3129.0 2918.0 5991.0
68.0 5.075000000000008 5664.0 38807.0 3129.0 2918.0 6071.0
69.0 4.799999999999992 5746.0 39398.0 3129.0 2918.0 6155.0
70.0 4.4749999999999925 5834.0 40026.0 3129.0 2918.0 6247.0
