#####################################################################
# Alchemist log file - simulation started at: 2023-05-21T21:21+0000 #
#####################################################################
#
# seed = 3.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 0.0 400.0 400.0 400.0
1.0 0.0 733.0 4990.0 780.0 780.0 780.0
2.0 0.0 796.0 5406.0 810.0 819.0 843.0
3.0 0.0 881.0 5974.0 849.0 865.0 928.0
4.0 0.0 989.0 6723.0 900.0 927.0 1041.0
5.0 0.0 1120.0 7622.0 965.0 1003.0 1182.0
6.0 0.0 1265.0 8621.0 1048.0 1083.0 1345.0
7.0 0.0 1417.0 9690.0 1147.0 1158.0 1519.0
8.0 0.0 1573.0 10780.0 1254.0 1236.0 1704.0
9.0 0.0 1737.0 11900.0 1343.0 1331.0 1888.0
10.0 0.0 1931.0 13291.0 1441.0 1453.0 2108.0
11.0 0.27500000000000074 2142.0 14766.0 1555.0 1588.0 2341.0
12.0 0.9499999999999986 2347.0 16200.0 1686.0 1741.0 2563.0
13.0 1.9250000000000014 2557.0 17666.0 1838.0 1905.0 2789.0
14.0 3.274999999999999 2807.0 19416.0 2018.0 2089.0 3060.0
15.0 4.375 3119.0 21555.0 2226.0 2298.0 3397.0
16.0 5.075 3442.0 23728.0 2430.0 2492.0 3747.0
17.0 5.725000000000001 3735.0 25664.0 2607.0 2658.0 4072.0
18.0 6.475000000000001 3979.0 27283.0 2740.0 2797.0 4341.0
19.0 7.0249999999999995 4188.0 28725.0 2845.0 2928.0 4577.0
20.0 7.6499999999999995 4395.0 30154.0 2959.0 3051.0 4814.0
21.0 8.049999999999997 4594.0 31515.0 3071.0 3153.0 5028.0
22.0 8.200000000000003 4775.0 32731.0 3175.0 3242.0 5221.0
23.0 8.174999999999997 4918.0 33693.0 3258.0 3304.0 5368.0
24.0 8.100000000000003 5039.0 34480.0 3316.0 3346.0 5491.0
25.0 7.950000000000003 5159.0 35248.0 3342.0 3375.0 5611.0
26.0 7.75 5292.0 36143.0 3358.0 3391.0 5744.0
27.0 7.6 5440.0 37162.0 3369.0 3394.0 5897.0
28.0 7.5 5584.0 38164.0 3369.0 3394.0 6057.0
29.0 7.349999999999997 5728.0 39189.0 3369.0 3394.0 6219.0
30.0 7.200000000000004 5869.0 40176.0 3369.0 3394.0 6387.0
31.0 7.0 5999.0 41094.0 3369.0 3394.0 6537.0
32.0 6.775000000000006 6124.0 41963.0 3369.0 3394.0 6672.0
33.0 6.525000000000006 6255.0 42903.0 3369.0 3394.0 6814.0
34.0 6.200000000000005 6397.0 43907.0 3369.0 3394.0 6970.0
35.0 5.775000000000006 6561.0 45076.0 3369.0 3394.0 7147.0
36.0 5.349999999999996 6739.0 46326.0 3369.0 3394.0 7341.0
37.0 4.900000000000002 6926.0 47612.0 3369.0 3394.0 7544.0
38.0 4.549999999999997 7125.0 48957.0 3369.0 3394.0 7757.0
39.0 4.424999999999997 7314.0 50201.0 3369.0 3394.0 7961.0
40.0 4.4 7482.0 51311.0 3369.0 3394.0 8141.0
41.0 4.35 7607.0 52151.0 3369.0 3394.0 8279.0
42.0 4.149999999999999 7702.0 52782.0 3369.0 3394.0 8385.0
43.0 3.924999999999999 7803.0 53497.0 3369.0 3394.0 8500.0
44.0 3.8000000000000003 7903.0 54178.0 3369.0 3394.0 8615.0
45.0 3.5249999999999986 7998.0 54844.0 3369.0 3394.0 8720.0
46.0 3.350000000000002 8086.0 55440.0 3369.0 3394.0 8816.0
47.0 3.25 8150.0 55863.0 3369.0 3394.0 8884.0
48.0 3.2250000000000028 8193.0 56133.0 3369.0 3394.0 8927.0
49.0 3.2250000000000028 8220.0 56308.0 3369.0 3394.0 8954.0
50.0 3.2250000000000028 8234.0 56389.0 3369.0 3394.0 8968.0
51.0 3.2250000000000028 8239.0 56413.0 3369.0 3394.0 8973.0
52.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
53.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
54.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
55.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
56.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
57.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
58.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
59.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
60.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
61.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
62.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
63.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
64.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
65.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
66.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
67.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
68.0 3.2250000000000028 8242.0 56431.0 3369.0 3394.0 8976.0
