#####################################################################
# Alchemist log file - simulation started at: 2023-05-21T21:21+0000 #
#####################################################################
#
# seed = 4.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 1
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 0.0 400.0 400.0 400.0
1.0 0.0 400.0 2720.0 400.0 400.0 400.0
2.0 0.0 739.0 4993.0 783.0 783.0 783.0
3.0 0.0 767.0 5162.0 793.0 801.0 811.0
4.0 0.0 790.0 5313.0 801.0 816.0 834.0
5.0 0.0 828.0 5560.0 816.0 839.0 872.0
6.0 0.0 863.0 5794.0 828.0 862.0 907.0
7.0 0.0 914.0 6137.0 849.0 892.0 958.0
8.0 0.0 967.0 6495.0 871.0 923.0 1011.0
9.0 0.0 1033.0 6939.0 900.0 960.0 1077.0
10.0 0.0 1099.0 7393.0 932.0 996.0 1145.0
11.0 0.0 1186.0 7981.0 976.0 1041.0 1234.0
12.0 0.0 1270.0 8549.0 1020.0 1090.0 1327.0
13.0 0.0 1368.0 9221.0 1080.0 1139.0 1436.0
14.0 0.0 1448.0 9767.0 1129.0 1181.0 1527.0
15.0 0.0 1534.0 10365.0 1187.0 1218.0 1622.0
16.0 0.0 1609.0 10890.0 1236.0 1250.0 1703.0
17.0 0.0 1691.0 11468.0 1298.0 1281.0 1796.0
18.0 0.0 1767.0 12005.0 1348.0 1315.0 1880.0
19.0 0.0 1847.0 12569.0 1399.0 1353.0 1969.0
20.0 0.0 1927.0 13128.0 1445.0 1393.0 2055.0
21.0 0.0 2010.0 13704.0 1494.0 1436.0 2147.0
22.0 0.0 2095.0 14287.0 1541.0 1484.0 2242.0
23.0 0.0 2189.0 14928.0 1591.0 1537.0 2345.0
24.0 0.25 2280.0 15542.0 1646.0 1590.0 2442.0
25.0 0.375 2370.0 16163.0 1697.0 1654.0 2540.0
26.0 0.875 2454.0 16735.0 1755.0 1719.0 2631.0
27.0 1.1999999999999984 2546.0 17349.0 1823.0 1796.0 2729.0
28.0 1.8249999999999984 2642.0 18007.0 1894.0 1871.0 2833.0
29.0 2.3000000000000016 2747.0 18712.0 1968.0 1955.0 2948.0
30.0 2.8999999999999972 2870.0 19555.0 2042.0 2041.0 3080.0
31.0 3.25 2996.0 20403.0 2120.0 2125.0 3215.0
32.0 3.75 3132.0 21323.0 2200.0 2210.0 3365.0
33.0 4.175 3271.0 22254.0 2280.0 2299.0 3518.0
34.0 4.5 3396.0 23092.0 2356.0 2365.0 3656.0
35.0 4.950000000000001 3528.0 23972.0 2435.0 2432.0 3800.0
36.0 5.200000000000001 3631.0 24670.0 2495.0 2482.0 3910.0
37.0 5.674999999999998 3753.0 25488.0 2566.0 2542.0 4041.0
38.0 6.0 3859.0 26202.0 2623.0 2603.0 4159.0
39.0 6.450000000000002 3980.0 27009.0 2689.0 2669.0 4291.0
40.0 6.849999999999998 4091.0 27770.0 2742.0 2741.0 4416.0
41.0 7.200000000000003 4198.0 28499.0 2796.0 2808.0 4537.0
42.0 7.525000000000001 4309.0 29259.0 2852.0 2874.0 4659.0
43.0 7.825000000000002 4413.0 29969.0 2911.0 2929.0 4773.0
44.0 8.0 4516.0 30665.0 2965.0 2987.0 4885.0
45.0 8.149999999999999 4611.0 31312.0 3021.0 3033.0 4987.0
46.0 8.25 4702.0 31923.0 3070.0 3080.0 5083.0
47.0 8.375 4777.0 32429.0 3116.0 3113.0 5162.0
48.0 8.399999999999997 4846.0 32887.0 3159.0 3143.0 5235.0
49.0 8.450000000000003 4899.0 33234.0 3195.0 3161.0 5289.0
50.0 8.450000000000003 4948.0 33540.0 3222.0 3179.0 5338.0
51.0 8.399999999999997 4997.0 33856.0 3247.0 3191.0 5388.0
52.0 8.375 5042.0 34135.0 3264.0 3197.0 5433.0
53.0 8.25 5085.0 34407.0 3270.0 3197.0 5476.0
54.0 8.174999999999997 5134.0 34726.0 3280.0 3197.0 5525.0
55.0 8.024999999999999 5181.0 35037.0 3282.0 3197.0 5572.0
56.0 7.950000000000002 5240.0 35426.0 3291.0 3197.0 5631.0
57.0 7.825000000000002 5301.0 35838.0 3291.0 3197.0 5692.0
58.0 7.75 5358.0 36232.0 3291.0 3197.0 5753.0
59.0 7.625 5423.0 36677.0 3291.0 3197.0 5822.0
60.0 7.549999999999997 5488.0 37122.0 3291.0 3197.0 5891.0
61.0 7.450000000000003 5556.0 37593.0 3291.0 3197.0 5967.0
62.0 7.349999999999996 5618.0 38025.0 3291.0 3197.0 6039.0
63.0 7.325000000000004 5675.0 38420.0 3291.0 3197.0 6103.0
64.0 7.200000000000004 5739.0 38861.0 3291.0 3197.0 6175.0
65.0 7.174999999999995 5793.0 39244.0 3291.0 3197.0 6235.0
66.0 7.0 5854.0 39670.0 3291.0 3197.0 6309.0
67.0 7.0 5900.0 39994.0 3291.0 3197.0 6358.0
68.0 6.799999999999995 5958.0 40399.0 3291.0 3197.0 6424.0
69.0 6.775000000000005 6008.0 40747.0 3291.0 3197.0 6480.0
70.0 6.575000000000005 6067.0 41159.0 3291.0 3197.0 6547.0
71.0 6.525000000000006 6120.0 41526.0 3291.0 3197.0 6605.0
