#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T01:22+0000 #
#####################################################################
#
# seed = 50.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
88.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
89.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
90.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
91.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
92.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
93.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
94.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
95.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
96.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
97.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
98.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
99.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
100.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
101.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
102.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
103.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
104.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
105.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
106.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
107.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
108.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
109.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
110.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
111.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
112.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
113.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
114.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
115.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
116.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
117.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
118.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
119.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
120.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
121.0 3.25 9217.0 63292.0 3419.0 3763.0 9931.0
