#####################################################################
# Alchemist log file - simulation started at: 2023-05-21T21:21+0000 #
#####################################################################
#
# seed = 2.0, spacing = 0.5, error = 0.1, mode = reactive, delay = 10, throttle = 1
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 2732.0 400.0 400.0 400.0
1.0 0.0 4657.0 32438.0 3668.0 4177.0 4831.0
2.0 1.2749999999999975 9356.0 65664.0 6092.0 6758.0 9775.0
3.0 6.575000000000004 15183.0 106316.0 8661.0 10620.0 15856.0
4.0 8.375 21252.0 148650.0 11401.0 13996.0 22170.0
5.0 7.625 25251.0 176476.0 12733.0 15793.0 26350.0
6.0 6.700000000000004 28448.0 198868.0 13397.0 16351.0 29702.0
7.0 4.524999999999999 31630.0 221130.0 13567.0 16417.0 33010.0
8.0 3.375 33616.0 234778.0 13570.0 16417.0 35094.0
9.0 2.2999999999999936 35216.0 245857.0 13570.0 16417.0 36767.0
10.0 2.1749999999999927 36094.0 251793.0 13570.0 16417.0 37691.0
11.0 2.1749999999999927 36513.0 254710.0 13570.0 16417.0 38121.0
12.0 2.1749999999999927 36612.0 255427.0 13570.0 16417.0 38220.0
13.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
14.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
15.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
16.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
17.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
18.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
19.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
20.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
21.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
22.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
23.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
24.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
25.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
26.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
27.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
28.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
29.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
30.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
31.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
32.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
33.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
34.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
35.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
36.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
37.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
38.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
39.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
40.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
41.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
42.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
43.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
44.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
45.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
46.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
47.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
48.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
49.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
50.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
51.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
52.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
53.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
54.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
55.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
56.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
57.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
58.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
59.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
60.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
61.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
62.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
63.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
64.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
65.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
66.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
67.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
68.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
69.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
70.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
71.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
72.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
73.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
74.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
75.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
76.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
77.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
78.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
79.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
80.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
81.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
82.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
83.0 2.1749999999999927 36643.0 255653.0 13570.0 16417.0 38251.0
