#####################################################################
# Alchemist log file - simulation started at: 2023-05-21T21:21+0000 #
#####################################################################
#
# seed = 10.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 8
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 0.0 400.0 400.0 400.0
1.0 0.0 1291.0 8516.0 1251.0 1227.0 1345.0
2.0 0.0 1976.0 13035.0 1637.0 1565.0 2069.0
3.0 0.0 2801.0 18745.0 2198.0 1910.0 2975.0
4.0 1.75 3769.0 25370.0 2904.0 2445.0 4016.0
5.0 4.8500000000000005 4942.0 33108.0 3763.0 3252.0 5269.0
6.0 7.399999999999998 6418.0 42927.0 4518.0 4158.0 6861.0
7.0 8.325000000000005 7759.0 52266.0 5224.0 4894.0 8303.0
8.0 8.049999999999997 8682.0 58734.0 5683.0 5332.0 9262.0
9.0 7.575000000000003 9540.0 64550.0 5872.0 5534.0 10159.0
10.0 6.924999999999995 10373.0 70305.0 5880.0 5641.0 11061.0
11.0 5.7750000000000075 11179.0 75926.0 5880.0 5661.0 11933.0
12.0 4.5 11988.0 81483.0 5880.0 5664.0 12795.0
13.0 3.7000000000000073 12932.0 87799.0 5880.0 5664.0 13772.0
14.0 3.349999999999994 13757.0 93501.0 5880.0 5664.0 14637.0
15.0 2.825000000000005 14477.0 98443.0 5880.0 5664.0 15395.0
16.0 2.299999999999998 14962.0 101851.0 5880.0 5664.0 15899.0
17.0 2.125 15211.0 103661.0 5880.0 5664.0 16152.0
18.0 2.05 15403.0 104989.0 5880.0 5664.0 16356.0
19.0 2.05 15462.0 105478.0 5880.0 5664.0 16420.0
20.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
21.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
22.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
23.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
24.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
25.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
26.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
27.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
28.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
29.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
30.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
31.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
32.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
33.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
34.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
35.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
36.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
37.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
38.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
39.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
40.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
41.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
42.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
43.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
44.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
45.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
46.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
47.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
48.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
49.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
50.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
51.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
52.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
53.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
54.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
55.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
56.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
57.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
58.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
59.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
60.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
61.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
62.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
63.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
64.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
65.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
66.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
67.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
68.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
69.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
70.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
71.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
72.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
73.0 2.05 15462.0 105489.0 5880.0 5664.0 16420.0
