#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T00:04+0000 #
#####################################################################
#
# seed = 36.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 8
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 0.0 400.0 400.0 400.0
1.0 0.0 1361.0 8855.0 1284.0 1309.0 1419.0
2.0 0.0 2084.0 13632.0 1650.0 1709.0 2185.0
3.0 0.07500000000000025 2999.0 19782.0 2185.0 2186.0 3194.0
4.0 2.4249999999999927 4029.0 26745.0 2725.0 2998.0 4296.0
5.0 4.700000000000005 5184.0 34287.0 3358.0 4034.0 5527.0
6.0 6.924999999999996 6560.0 43606.0 3973.0 5020.0 7009.0
7.0 8.25 7821.0 52169.0 4594.0 5748.0 8357.0
8.0 8.049999999999997 8802.0 58800.0 5062.0 6102.0 9382.0
9.0 7.5 9806.0 65663.0 5273.0 6220.0 10434.0
10.0 6.950000000000004 10750.0 72253.0 5294.0 6243.0 11448.0
11.0 6.099999999999993 11601.0 78193.0 5294.0 6243.0 12361.0
12.0 5.25 12396.0 83710.0 5294.0 6243.0 13235.0
13.0 4.575000000000004 13288.0 89671.0 5302.0 6243.0 14180.0
14.0 4.325000000000003 14120.0 95231.0 5302.0 6243.0 15066.0
15.0 3.8250000000000015 14806.0 99823.0 5302.0 6243.0 15800.0
16.0 3.324999999999998 15251.0 102935.0 5302.0 6243.0 16289.0
17.0 3.075 15656.0 105796.0 5302.0 6243.0 16719.0
18.0 3.075 15890.0 107466.0 5302.0 6243.0 16965.0
19.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
20.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
21.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
22.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
23.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
24.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
25.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
26.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
27.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
28.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
29.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
30.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
31.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
32.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
33.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
34.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
35.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
36.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
37.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
38.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
39.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
40.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
41.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
42.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
43.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
44.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
45.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
46.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
47.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
48.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
49.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
50.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
51.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
52.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
53.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
54.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
55.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
56.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
57.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
58.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
59.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
60.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
61.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
62.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
63.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
64.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
65.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
66.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
67.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
68.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
69.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
70.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
71.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
72.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
73.0 3.075 15946.0 107912.0 5302.0 6243.0 17025.0
