#####################################################################
# Alchemist log file - simulation started at: 2023-05-21T22:25+0000 #
#####################################################################
#
# seed = 18.0, spacing = 0.5, error = 0.1, mode = throttle, delay = 10, throttle = 2
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] source_gradient[sum] destination_gradient[sum] distance_between[sum] 
0.0 NaN 0.0 0.0 0.0 0.0 0.0
0.0 0.0 400.0 0.0 400.0 400.0 400.0
1.0 0.0 739.0 5039.0 784.0 784.0 784.0
2.0 0.0 821.0 5585.0 826.0 837.0 866.0
3.0 0.0 917.0 6250.0 868.0 891.0 962.0
4.0 0.0 1045.0 7149.0 926.0 962.0 1091.0
5.0 0.0 1199.0 8205.0 1003.0 1047.0 1253.0
6.0 0.0 1352.0 9294.0 1090.0 1126.0 1419.0
7.0 0.0 1508.0 10369.0 1180.0 1212.0 1595.0
8.0 0.0 1665.0 11459.0 1267.0 1299.0 1769.0
9.0 0.0 1838.0 12665.0 1354.0 1400.0 1957.0
10.0 0.0 2029.0 14022.0 1452.0 1512.0 2167.0
11.0 0.22499999999999937 2236.0 15470.0 1557.0 1636.0 2387.0
12.0 0.7750000000000002 2438.0 16882.0 1680.0 1777.0 2608.0
13.0 1.699999999999999 2653.0 18368.0 1828.0 1939.0 2844.0
14.0 3.075 2898.0 20083.0 1992.0 2119.0 3103.0
15.0 4.200000000000001 3179.0 21999.0 2168.0 2308.0 3401.0
16.0 4.975000000000001 3470.0 23941.0 2338.0 2487.0 3709.0
17.0 5.549999999999999 3730.0 25646.0 2488.0 2635.0 3993.0
18.0 6.275000000000001 3944.0 27093.0 2592.0 2771.0 4233.0
19.0 6.950000000000002 4131.0 28378.0 2670.0 2895.0 4435.0
20.0 7.549999999999998 4328.0 29744.0 2767.0 3018.0 4655.0
21.0 8.049999999999997 4525.0 31132.0 2876.0 3120.0 4866.0
22.0 8.325000000000003 4698.0 32340.0 2982.0 3198.0 5050.0
23.0 8.450000000000003 4847.0 33337.0 3070.0 3248.0 5205.0
24.0 8.399999999999997 4998.0 34365.0 3139.0 3283.0 5359.0
25.0 8.174999999999997 5152.0 35379.0 3175.0 3302.0 5514.0
26.0 7.9750000000000005 5299.0 36386.0 3188.0 3309.0 5668.0
27.0 7.700000000000003 5436.0 37338.0 3190.0 3309.0 5812.0
28.0 7.5 5574.0 38288.0 3190.0 3309.0 5969.0
29.0 7.299999999999995 5708.0 39226.0 3190.0 3309.0 6125.0
30.0 6.974999999999995 5842.0 40159.0 3190.0 3309.0 6278.0
31.0 6.599999999999994 5968.0 41038.0 3190.0 3309.0 6415.0
32.0 6.174999999999994 6097.0 41954.0 3190.0 3309.0 6556.0
33.0 5.724999999999993 6241.0 42966.0 3190.0 3309.0 6712.0
34.0 5.25 6397.0 44079.0 3190.0 3309.0 6885.0
35.0 4.6500000000000075 6577.0 45359.0 3190.0 3309.0 7076.0
36.0 3.974999999999994 6774.0 46726.0 3190.0 3309.0 7281.0
37.0 3.4249999999999945 6980.0 48124.0 3190.0 3309.0 7496.0
38.0 3.2750000000000044 7177.0 49431.0 3190.0 3309.0 7703.0
39.0 3.174999999999995 7355.0 50663.0 3190.0 3309.0 7889.0
40.0 3.0 7518.0 51733.0 3190.0 3309.0 8062.0
41.0 2.875 7645.0 52582.0 3190.0 3309.0 8198.0
42.0 2.625 7743.0 53245.0 3190.0 3309.0 8303.0
43.0 2.3999999999999977 7836.0 53910.0 3190.0 3309.0 8406.0
44.0 2.200000000000001 7930.0 54571.0 3190.0 3309.0 8508.0
45.0 2.024999999999999 8000.0 55054.0 3190.0 3309.0 8579.0
46.0 1.9499999999999984 8063.0 55488.0 3190.0 3309.0 8646.0
47.0 1.9250000000000016 8115.0 55838.0 3190.0 3309.0 8701.0
48.0 1.899999999999999 8147.0 56055.0 3190.0 3309.0 8733.0
49.0 1.899999999999999 8165.0 56168.0 3190.0 3309.0 8751.0
50.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
51.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
52.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
53.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
54.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
55.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
56.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
57.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
58.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
59.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
60.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
61.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
62.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
63.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
64.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
65.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
66.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
67.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
68.0 1.899999999999999 8179.0 56249.0 3190.0 3309.0 8765.0
