#####################################################################
# Alchemist log file - simulation started at: 2023-05-22T07:36+0000 #
#####################################################################
#
# seed = 32.0, spacing = 0.5, error = 0.1, mode = proactive, delay = 10, throttle = 1
#
# The columns have the following meaning: 
# time root[mean] rounds[sum] messages[sum] 
0.0 NaN 0.0 0.0
0.002396032480185939 -1.0 1.0 1.0
1.0005769357647378 -0.8852459016393444 400.0 1497.0
2.000493593247231 -0.8382314480844602 800.0 4610.0
3.0013319444745012 -0.7312503625120416 1200.0 7748.0
4.002082943090345 -0.6322710903731876 1600.0 10886.0
5.000764939935913 -0.42013583196166954 2000.0 14024.0
6.002396032480186 -0.26458100224901043 2401.0 17171.0
7.002396032480186 -0.06415296984444613 2801.0 20309.0
8.000482861674959 0.21008190609626287 3200.0 23438.0
9.002396032480185 0.4656804520924629 3601.0 26585.0
10.002396032480185 0.7610298173802855 4001.0 29723.0
11.002396032480185 0.9528156826575822 4401.0 32861.0
12.002396032480185 1.1446079594691871 4801.0 35999.0
13.001234405434596 1.3713924968803712 5200.0 39128.0
14.000108412654864 1.5478184270250195 5600.0 42266.0
15.00225644792399 1.782912705182362 6000.0 45404.0
16.002396032480185 1.905922317099531 6401.0 48551.0
17.002396032480185 2.1123719867892374 6801.0 51689.0
18.002396032480185 2.2966947379322398 7201.0 54827.0
19.00142105646209 2.4814246389146364 7600.0 57956.0
20.002396032480185 2.631322996513139 8001.0 61103.0
21.001507563534613 2.876407209393814 8400.0 64232.0
22.002396032480185 3.0568406537146 8801.0 67379.0
23.00018945613303 3.395783445357423 9200.0 70508.0
24.001966982165488 3.5888589810448948 9600.0 73646.0
25.000716361730564 3.808321956728461 10000.0 76784.0
26.002396032480185 4.0252636714602135 10401.0 79931.0
27.002349081234776 4.180503786614702 10800.0 83060.0
28.002337998768244 4.414340154901599 11200.0 86198.0
29.000531760835713 4.5434651532929555 11600.0 89336.0
30.002396032480185 4.858182365460618 12001.0 92483.0
31.001449849525976 5.088624148582783 12400.0 95612.0
32.000396364697785 5.33820645225805 12800.0 98750.0
33.002396032480185 5.739826724402862 13201.0 101897.0
34.002396032480185 6.048193805062677 13601.0 105035.0
35.0022410633723 6.303805984905868 14000.0 108164.0
36.00063681201839 6.434097946859841 14400.0 111302.0
37.00006922096019 6.576679207373398 14800.0 114440.0
38.002396032480185 6.726043227772735 15201.0 117587.0
39.002396032480185 6.898643124578143 15601.0 120725.0
40.00175650316707 7.019828041086309 16000.0 123854.0
41.002396032480185 7.166397761401066 16401.0 127001.0
42.00001957590832 7.3215498908769865 16800.0 130130.0
43.000828669967454 7.474606493021216 17200.0 133268.0
44.00028975898847 7.568108135271652 17600.0 136406.0
45.00201072305015 7.58881054608946 18000.0 139544.0
46.002396032480185 7.584876969865278 18401.0 142691.0
47.002396032480185 7.582217371914492 18801.0 145829.0
48.00129005467314 7.58085198827303 19200.0 148958.0
49.000744126677134 7.579514670948423 19600.0 152096.0
50.002396032480185 7.5789408718209685 20001.0 155243.0
51.002396032480185 7.57837111814424 20401.0 158381.0
52.000586885347666 7.578069022377404 20800.0 161510.0
53.002396032480185 7.577837479702854 21201.0 164657.0
54.00155313863609 7.577837479702854 21600.0 167786.0
55.000046114716135 7.577837479702854 22000.0 170924.0
56.000434730008784 7.577837479702854 22400.0 174062.0
57.002396032480185 7.577837479702854 22801.0 177209.0
58.00034969816904 7.577837479702854 23200.0 180338.0
59.002396032480185 7.577837479702854 23601.0 183485.0
60.000165583917735 7.577837479702854 24000.0 186614.0
61.002396032480185 7.577837479702854 24401.0 189761.0
62.002396032480185 7.577837479702854 24801.0 192899.0
63.000725554917175 7.577837479702854 25200.0 196028.0
64.00051397456045 7.577837479702854 25600.0 199166.0
65.00035637340119 7.577837479702854 26000.0 202304.0
66.00029615982157 7.577837479702854 26400.0 205442.0
67.00239603248019 7.577837479702854 26801.0 208589.0
68.00209545014965 7.577837479702854 27200.0 211718.0
69.00239603248019 7.577837479702854 27601.0 214865.0
70.00026297752059 7.577837479702854 28000.0 217994.0
71.00060505028469 7.577837479702854 28400.0 221132.0
72.00058579856191 7.577837479702854 28800.0 224270.0
73.00047764336735 7.577837479702854 29200.0 227408.0
74.00096471116666 7.577837479702854 29600.0 230546.0
75.00137636218459 7.577837479702854 30000.0 233684.0
76.00239603248019 7.577837479702854 30401.0 236831.0
77.00239603248019 7.577837479702854 30801.0 239969.0
78.00239603248019 7.577837479702854 31201.0 243107.0
79.00239603248019 7.577837479702854 31601.0 246245.0
80.00046834852994 7.577837479702854 32000.0 249374.0
81.00239603248019 7.577837479702854 32401.0 252521.0
82.00065249907372 7.577837479702854 32800.0 255650.0
83.00233552574765 7.577837479702854 33200.0 258788.0
84.002345956975 7.577837479702854 33600.0 261926.0
85.00085652144155 7.577837479702854 34000.0 265064.0
86.00050142923897 7.577837479702854 34400.0 268202.0
87.0016305881891 7.577837479702854 34800.0 271340.0
88.00239603248019 7.577837479702854 35201.0 274487.0
89.00032450317357 7.577837479702854 35600.0 277616.0
90.00022394769137 7.577837479702854 36000.0 280754.0
91.00239603248019 7.577837479702854 36401.0 283901.0
92.00068322635433 7.577837479702854 36800.0 287030.0
93.00239603248019 7.577837479702854 37201.0 290177.0
94.00239603248019 7.577837479702854 37601.0 293315.0
95.0019146573094 7.577837479702854 38000.0 296444.0
96.00002644083867 7.577837479702854 38400.0 299582.0
97.00152263659236 7.577837479702854 38800.0 302720.0
98.00105662440238 7.577837479702854 39200.0 305858.0
99.00239603248019 7.577837479702854 39601.0 309005.0
100.00012018483797 7.577837479702854 40000.0 312134.0
